Nom;Preu amb impostos;Quantitat;Actiu;Categorias;Proveidor;URL imatge,,,,,,,
Seita 250gr;3.4;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/seitan.jpg
Seita 500gr;6.8;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/seitan.jpg
Seita Moru;3.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/seitan.jpg
Seita Shawarma;3.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/seitan.jpg
4 llibrets seita tomaquet sec i pinyons;4.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/llibrets_seitan.jpg
4 llibrets seita ceba i datil;4.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/llibrets_seitan.jpg
4 llibrets pebrot i nous;4.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/llibrets_seitan.jpg
4 llibrets trompeta de la mort;4.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/llibrets_seitan.jpg
4 llibrets xampinyo;4.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/llibrets_seitan.jpg
6 llibrets seita tomaquet sec i pinyons;6.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/llibrets_seitan.jpg
6 llibrets seita ceba i datil;6.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/llibrets_seitan.jpg
6 llibrets pebrot i nous;6.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/llibrets_seitan.jpg
6 llibrets seita trompeta de la mort;6.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/llibrets_seitan.jpg
6 llibrets seita xampinyo;6.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/llibrets_seitan.jpg
Botifarra pastanaga i festuc;3.8;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/butis_de_gluten.jpg
Botifarra bolets;3.8;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/butis_de_gluten.jpg
Botifarra pebre vermell;3.8;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/butis_de_gluten.jpg
Botifarra Carbassa i mostassa;3.8;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/butis_de_gluten.jpg
Botifarra cinc pebres;3.8;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/butis_de_gluten.jpg
Tofu blanc;3.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/tofu.jpg
Tofu llimona;4.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/tofu.jpg
Tofu comí;3.6;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/tofu.jpg
Tofu cúrcuma;3.6;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/tofu.jpg
Tofu Orenga;3.6;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/tofu.jpg
Tofu curry;3.6;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/tofu.jpg
Tofu alga nori;3.75;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/tofu.jpg
Tofu dulse;3.75;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/tofu.jpg
8 Burguer pastanaga i curri;4.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mini_hamburgueses_curri.jpg
12 Burguer pastanaga i curri;6.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mini_hamburgueses_curri.jpg
8 Burguer xampinyó;4.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mini_hamburgueses_variades.jpg
12 Burguer xampinyó;6.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mini_hamburgueses_variades.jpg
8 Burguer pebre vermell;4.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mini_hamburgueses_variades.jpg
12 Burguer pebre vermell;6.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mini_hamburgueses_variades.jpg
8 Burguer alga nori;4.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mini_hamburgueses_variades.jpg
12 Burguer alga nori;6.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mini_hamburgueses_variades.jpg
8 Burguer ceba i tomàquet;4.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mini_hamburgueses_variades.jpg
12 Burguer ceba i tomàquet;6.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mini_hamburgueses_variades.jpg
Burguer Seità i xampinyó;3.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/hamburgueses_vegetals.jpg
Burguer de civada i llentíes;3.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/hamburgueses_vegetals.jpg
Burguer civada i adzukis;3.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/hamburgueses_vegetals.jpg
Burguer civada i cigrons;3.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/hamburgueses_vegetals.jpg
Burguer arròs, fajol i alga nori;3.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/hamburgueses_vegetals.jpg
Burguer arròs, fajol i nap;3.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/hamburgueses_vegetals.jpg
Burguer arros, fajol,remolatxa i gingebre;3.5;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/hamburgueses_vegetals.jpg
Croquetes cep;4.95;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/croquetes_vegetals.jpg
Croquetes Seitan i cep;4.95;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/croquetes_vegetals.jpg
Croquetes Seitan i nou moscada;4.95;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/croquetes_vegetals.jpg
Salsitxes pebre negre;4.75;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/salsitxes_seitan_tofu.jpg
Salsitxes pebre vermell;4.75;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/salsitxes_seitan_tofu.jpg
Salsitxes herbes provençals;4.75;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/salsitxes_seitan_tofu.jpg
Salsitxes trompeta de la mort;4.75;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/salsitxes_seitan_tofu.jpg
Salsitxes  cúrcuma;4.75;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/salsitxes_seitan_tofu.jpg
Mandonguilles arròs i cinc llavors;3.75;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mandonguilles_veg.jpg
Mandonguilles de mill i pastanaga;3.75;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mandonguilles_veg.jpg
Mandonguilles de mill amb samfaina;3.75;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mandonguilles_veg.jpg
Mandonguilles de carbassó i daikon;3.75;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/mandonguilles_veg.jpg
Passagana nori;3.60;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/embotits_vegetals.jpg
Passagana especiat;3.60;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/embotits_vegetals.jpg
Passagana cúrcuma;3.60;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/embotits_vegetals.jpg
Passagana remolatxa i poma;3.60;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/embotits_vegetals.jpg
Canelons de paté de xampinyons;5.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/canelons_de_pate_de_xampinyons.jpg
Fricandó de seità amb bolets;5.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/fricando_seitan_bolets.png
Truita de patates;4.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/Truita_patates_vegetal.jpg
Lasanya Shiitake;5.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/lassanya_shitake.jpg
Seitan a la Ratafía;5.0;999999999;1;La Veganeria;La Veganeria;http://botiga-teixitdelaterra.rhcloud.com/imatges/seitan_ratafia.png
